claim_status,video_id,video_duration_sec,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,Total Interactions,Video Classification
claim,3336652561,18,not verified,active,881753,295676,7539,1611,417,1185385,Popular
claim,8370716280,53,not verified,banned,179828,100089,9428,1529,518,289863,Typical
claim,3245423844,5,not verified,active,414954,43839,2052,753,32,460877,Typical
claim,6438126463,42,not verified,under review,380857,160730,35354,1844,457,577398,Typical
claim,3795737742,23,not verified,active,661093,180093,32820,3721,1338,875344,Popular
claim,7592496774,20,not verified,active,612645,340472,6082,7560,1963,961162,Popular
claim,2414295768,31,not verified,active,38266,7567,3012,136,14,48859,Typical
claim,2158621735,10,not verified,active,392496,251922,30959,3538,299,675676,Typical
claim,5038558037,8,not verified,active,175290,86677,1785,1819,391,264143,Typical
claim,4102631472,38,not verified,active,430258,20195,3453,349,146,454052,Typical
claim,7115588605,14,verified,active,474105,312860,104143,5030,553,891661,Popular
claim,3175914995,53,not verified,active,337386,55788,4060,1305,120,397354,Typical
claim,1709426027,6,not verified,active,448341,280452,60986,1746,105,789884,Popular
claim,8354003399,31,not verified,under review,236413,78298,17635,621,389,332735,Typical
claim,6028968151,35,not verified,active,549591,127657,17860,1984,781,695889,Popular
claim,7593600318,46,not verified,active,315640,182597,37612,3309,1246,537095,Typical
claim,4584695987,20,not verified,banned,467018,268058,22841,2263,1064,758981,Popular
claim,3852846298,57,not verified,active,794004,68594,1742,1166,324,864664,Popular
claim,5658428187,16,not verified,active,119841,13171,2251,41,10,135273,Typical
claim,8334676075,47,not verified,active,796512,186540,38277,3839,2131,1023460,Popular
claim,1641627688,25,not verified,active,390461,25079,7608,193,59,423207,Typical
claim,8522480418,44,not verified,active,86880,18003,966,352,232,106081,Typical
claim,9941882873,11,not verified,under review,371447,99183,8684,470,63,479377,Typical
claim,2217725507,15,not verified,under review,128877,29885,4119,264,74,162955,Typical
claim,5531181559,24,not verified,under review,795212,123662,43300,345,48,962222,Popular
claim,3171537153,9,not verified,active,255361,71078,1427,1368,448,328314,Typical
claim,9375231660,33,not verified,active,911083,402307,128902,4807,2863,1445155,Viral
claim,5474600099,48,not verified,active,855783,355794,111958,8563,1991,1325526,Viral
claim,8520150329,20,not verified,banned,223109,105943,21379,1689,162,350593,Typical
claim,3885322171,26,not verified,active,137178,28660,11396,266,158,177392,Typical
claim,2582314275,15,not verified,active,927524,145741,22076,607,328,1095669,Popular
claim,5219406021,38,not verified,active,532090,5265,100,114,22,537477,Typical
claim,7040915193,20,not verified,active,133433,67969,26793,647,221,228416,Typical
claim,4417620444,17,not verified,under review,879928,378123,19315,5379,3383,1280749,Popular
claim,5235914247,41,not verified,active,770231,382002,34029,6944,3988,1190250,Popular
claim,9732547058,34,not verified,active,800390,413882,28689,8926,1975,1244936,Popular
claim,2188868783,49,not verified,active,883273,169172,39076,311,66,1091587,Popular
claim,8374922300,45,not verified,active,834772,304099,91292,1010,145,1230308,Popular
claim,6893123009,29,not verified,active,487677,298063,7485,4535,494,793719,Popular
claim,3480452052,22,not verified,active,69375,19933,6979,491,57,96344,Typical
claim,2801119656,60,not verified,active,485244,82596,30917,1114,539,599296,Typical
claim,7056979288,58,not verified,active,495194,148995,31948,116,31,676168,Typical
claim,3305269208,35,not verified,active,216659,38472,9521,647,392,265044,Typical
claim,6662549277,5,not verified,active,999653,45323,12923,101,50,1057949,Popular
claim,1913260809,31,not verified,active,708456,183100,12592,884,253,904401,Popular
claim,9839369035,43,not verified,active,786965,244088,12754,4839,2772,1046579,Popular
claim,7876014050,11,not verified,active,833032,385435,48811,9604,1735,1269013,Popular
claim,5984230851,50,not verified,banned,398689,260997,31854,2475,779,692319,Popular
claim,7275607765,20,not verified,active,578974,143812,3717,758,377,726880,Popular
claim,4276359633,8,not verified,active,404233,58146,19761,903,414,482554,Typical
claim,6109406664,19,not verified,active,945583,113936,339,867,568,1060426,Popular
claim,7619002671,56,not verified,active,794058,386372,101561,8564,228,1282219,Popular
claim,8883048293,23,not verified,active,414976,245153,82406,2235,828,743363,Popular
claim,3159626510,9,verified,active,201670,22128,7196,231,114,231108,Typical
claim,3334878285,51,not verified,active,126115,63020,17190,1386,406,206731,Typical
claim,6673099357,45,not verified,active,182579,114340,33746,2531,1101,331766,Typical
claim,6195232838,23,not verified,under review,349348,3974,1105,92,32,354459,Typical
claim,3614999744,50,not verified,active,898054,74942,18695,1723,1076,992767,Popular
claim,6372679230,44,not verified,active,268304,148803,45166,963,496,462769,Typical
claim,5457144315,15,not verified,banned,920073,411072,27692,5621,443,1359280,Viral
claim,9587616903,60,not verified,under review,703576,223727,79682,4767,443,1007428,Popular
claim,9943041250,46,not verified,active,456405,39280,9624,810,274,505583,Typical
claim,8432090754,17,not verified,active,102407,1181,242,12,3,103833,Typical
claim,4390820789,48,verified,active,752581,367283,36586,4315,1343,1157793,Popular
claim,2109729049,35,verified,active,678567,69121,22827,1063,323,770838,Popular
claim,3853093831,52,not verified,active,538890,303351,90741,920,20,933002,Popular
claim,6996144926,10,not verified,active,164604,101080,24432,834,518,290634,Typical
claim,2195778092,29,verified,active,282723,23789,5528,175,29,312069,Typical
claim,5995448527,19,not verified,under review,566299,53087,20373,1035,667,640426,Typical
claim,4979811077,9,not verified,banned,408148,126518,27263,2675,1520,563449,Typical
claim,4641774147,7,not verified,active,5449,2059,390,18,2,7900,Typical
claim,2835793328,42,not verified,banned,995657,461643,41649,3426,1313,1500262,Viral
claim,3694517404,9,not verified,active,102158,26569,8882,194,67,137676,Typical
claim,2834463739,21,not verified,active,451481,109116,28414,370,196,589207,Typical
claim,6747374586,58,not verified,under review,996786,163087,37349,1003,266,1197488,Popular
claim,1984748966,52,not verified,under review,113658,10917,2983,194,87,127645,Typical
claim,5598422811,15,not verified,active,622326,200642,60549,0,0,883517,Popular
claim,4926818624,55,not verified,active,296482,162056,32128,3064,831,491497,Typical
claim,9949468381,57,not verified,banned,886391,170911,1276,2325,1327,1059905,Popular
claim,3296601604,40,not verified,active,119760,65418,25378,930,503,211059,Typical
claim,2536917580,19,not verified,active,424658,248004,81285,4267,1778,755725,Popular
claim,7906981551,29,not verified,active,124130,70381,21174,437,100,215785,Typical
claim,2507960003,18,not verified,active,134641,51795,5750,286,65,192251,Typical
claim,5157929469,8,not verified,under review,830188,19610,5703,472,212,855713,Popular
claim,2992963562,30,not verified,active,76228,6588,515,29,18,83349,Typical
claim,7121518218,57,not verified,active,366211,109460,28220,1277,241,504132,Typical
claim,2301966106,15,not verified,active,182624,106303,38597,1886,969,328493,Typical
claim,5132755555,52,not verified,active,232399,40645,9816,27,10,282870,Typical
claim,9613860728,47,not verified,active,472979,92157,15134,1566,525,580795,Typical
claim,5324786079,36,not verified,active,442090,180023,57697,2468,706,680516,Typical
claim,8523841168,44,not verified,active,6333,1249,117,0,0,7699,Typical
claim,6282118566,27,not verified,under review,137526,18818,919,167,20,157283,Typical
claim,4392219590,41,not verified,active,117824,46138,8321,728,270,172553,Typical
claim,3311269002,30,not verified,banned,566333,48788,13611,368,172,628904,Typical
claim,9020955370,16,not verified,active,695866,143661,3044,810,317,842888,Popular
claim,4858545207,10,not verified,banned,915801,399156,136373,2510,1492,1452822,Viral
claim,6728755657,20,not verified,under review,422005,3381,288,62,3,425677,Typical
claim,4925465190,21,not verified,active,954562,287810,683,4154,2117,1245172,Popular
claim,7640609885,38,not verified,active,369986,157573,7911,1771,309,535779,Typical
claim,1303606780,10,not verified,active,167202,110909,907,2732,426,279444,Typical
claim,8407920912,40,not verified,active,858605,155161,37439,2828,668,1051873,Popular
claim,6015611198,6,not verified,active,939076,558974,148015,6258,1394,1647459,Viral
claim,2147190866,24,not verified,banned,397866,109841,11122,792,493,519322,Typical
claim,4410162295,19,not verified,active,210018,63283,13974,269,103,287378,Typical
claim,3452932619,13,not verified,banned,415761,198375,15804,3854,2529,632469,Typical
claim,6858344211,52,not verified,under review,604355,28646,994,653,266,634261,Typical
claim,5894836557,18,not verified,active,799461,361540,29546,6789,4158,1194705,Popular
claim,2320090058,15,not verified,under review,725400,210695,21119,2685,1671,958885,Popular
claim,7644251135,16,not verified,under review,128410,51318,19152,1166,684,199564,Typical
claim,9899476536,25,verified,active,564382,287643,92802,2926,515,945342,Popular
claim,4465871321,31,not verified,banned,670584,45941,11256,479,36,727817,Popular
claim,6305869966,45,not verified,active,681106,398836,147979,3972,2388,1230309,Popular
claim,6629442264,58,not verified,banned,434216,4930,1357,23,14,440517,Typical
claim,2294337790,60,not verified,active,409997,74060,19465,1167,107,503629,Typical
claim,4641104178,24,not verified,under review,666605,175386,17020,4326,168,859179,Popular
claim,8104377607,57,not verified,active,929686,34472,4226,250,113,968497,Popular
claim,7713978903,40,not verified,active,707821,164680,3920,2476,1335,877756,Popular
claim,5566187549,42,not verified,active,168026,109904,38060,88,41,316031,Typical
claim,6735500405,29,not verified,active,907499,250081,69716,2407,1381,1228677,Popular
claim,1896651181,37,not verified,active,520209,68376,894,561,22,589501,Typical
claim,9713031749,17,not verified,active,613559,368043,113662,7130,4288,1099552,Popular
claim,8288566800,31,verified,active,845842,58357,13337,1283,293,917829,Popular
claim,4610489895,50,not verified,active,135972,41157,11811,569,191,189131,Typical
claim,3413749690,42,not verified,active,793347,72458,10127,819,418,876350,Popular
claim,9885856592,59,not verified,active,853454,390849,66724,6028,3143,1314170,Viral
claim,7592675695,5,not verified,active,764289,198190,59863,4860,2710,1025052,Popular
claim,8833873836,9,not verified,active,599440,202674,58930,4822,1988,863032,Popular
claim,4923294236,17,not verified,active,818162,196489,68653,457,179,1083483,Popular
claim,6226293151,48,not verified,active,478504,5188,614,6,1,484307,Typical
claim,7676816147,30,not verified,active,901466,157308,8590,3868,1372,1068736,Popular
claim,9475242380,31,not verified,banned,942782,349920,21094,5051,2293,1316089,Viral
claim,9717583377,31,not verified,active,560356,24717,4241,377,178,589492,Typical
claim,2183408164,59,not verified,active,166118,62065,21664,1244,326,250173,Typical
claim,8228125812,36,not verified,active,943836,615509,77624,10300,3675,1640644,Viral
claim,8861984781,48,verified,active,308048,28979,4165,724,476,341668,Typical
claim,9478578922,57,not verified,active,469978,89730,3040,1822,1136,563884,Typical
claim,7507044294,13,not verified,under review,789968,78073,23780,16,7,891828,Popular
claim,8930117636,59,verified,active,57391,11798,1562,243,103,70854,Typical
claim,7451192132,15,not verified,active,979623,305608,95625,3833,1088,1381944,Viral
claim,1796855303,47,not verified,under review,838648,375687,57254,2725,1502,1273091,Popular
